Date,Data
01/06/1966,5392
01/05/1966,4827
01/04/1966,4808
01/03/1966,4593
01/02/1966,4409
01/01/1966,4165
01/12/1965,4691
01/11/1965,4540
01/10/1965,4617
01/09/1965,4632
01/08/1965,4864
01/07/1965,4928
01/06/1965,5054
01/05/1965,4682
01/04/1965,4585
01/03/1965,4420
01/02/1965,4154
01/01/1965,3916
01/12/1964,4441
01/11/1964,4136
01/10/1964,4526
01/09/1964,4577
01/08/1964,4576
01/07/1964,4769
01/06/1964,4849
01/05/1964,4430
01/04/1964,4443
01/03/1964,4137
01/02/1964,3965
01/01/1964,3967
01/12/1963,4191
01/11/1963,4259
01/10/1963,4426
01/09/1963,4345
01/08/1963,4711
01/07/1963,4680
01/06/1963,4546
01/05/1963,4471
01/04/1963,4451
01/03/1963,4013
01/02/1963,3977
01/01/1963,3911
01/12/1962,3942
01/11/1962,4296
01/10/1962,4287
01/09/1962,4097
01/08/1962,4611
01/07/1962,4449
01/06/1962,4546
01/05/1962,4376
01/04/1962,4166
01/03/1962,4055
01/02/1962,3759
01/01/1962,3769
01/12/1961,3908
01/11/1961,4118
01/10/1961,3998
01/09/1961,4183
01/08/1961,4376
01/07/1961,4268
01/06/1961,4467
01/05/1961,4281
01/04/1961,3804
01/03/1961,3938
01/02/1961,3607
01/01/1961,3537
01/12/1960,3868
01/11/1960,4015
01/10/1960,3936
01/09/1960,4101
01/08/1960,4279
01/07/1960,4178
01/06/1960,4453
01/05/1960,3999
01/04/1960,4132
01/03/1960,3694
01/02/1960,3560
01/01/1960,3412
01/12/1959,3783
01/11/1959,3694
01/10/1959,3701
01/09/1959,4133
01/08/1959,4083
01/07/1959,4194
01/06/1959,4274
01/05/1959,3928
01/04/1959,3967
01/03/1959,3648
01/02/1959,3381
01/01/1959,3504
01/12/1958,3702
01/11/1958,3514
01/10/1958,3838
01/09/1958,3804
01/08/1958,3950
01/07/1958,4025
01/06/1958,4010
01/05/1958,3881
01/04/1958,3803
01/03/1958,3359
01/02/1958,3297
01/01/1958,3315
01/12/1957,3456
01/11/1957,3429
01/10/1957,3664
01/09/1957,3620
01/08/1957,3942
01/07/1957,3976
01/06/1957,3853
01/05/1957,3801
01/04/1957,3639
01/03/1957,3424
01/02/1957,3254
01/01/1957,3292
01/12/1956,3290
01/11/1956,3542
01/10/1956,3645
01/09/1956,3509
01/08/1956,3836
01/07/1956,3696
01/06/1956,4004
01/05/1956,3769
01/04/1956,3566
01/03/1956,3425
01/02/1956,3209
01/01/1956,3075
01/12/1955,3400
01/11/1955,3481
01/10/1955,3471
01/09/1955,3626
01/08/1955,3759
01/07/1955,3607
01/06/1955,3801
01/05/1955,3583
01/04/1955,3541
01/03/1955,3256
01/02/1955,3028
01/01/1955,2983
01/12/1954,3149
01/11/1954,3199
01/10/1954,3220
01/09/1954,3282
01/08/1954,3354
01/07/1954,3425
01/06/1954,3541
01/05/1954,3184
01/04/1954,3267
01/03/1954,3072
01/02/1954,2884
01/01/1954,2732
01/12/1953,2942
01/11/1953,3041
01/10/1953,3159
01/09/1953,3255
01/08/1953,3250
01/07/1953,3385
01/06/1953,3523
01/05/1953,3162
01/04/1953,3141
01/03/1953,2949
01/02/1953,2825
01/01/1953,2673
01/12/1952,2912
01/11/1952,2802
01/10/1952,3108
01/09/1952,3114
01/08/1952,3112
01/07/1952,3211
01/06/1952,3101
01/05/1952,3106
01/04/1952,3073
01/03/1952,2600
01/02/1952,2655
01/01/1952,2638
01/12/1951,2721
01/11/1951,2946
01/10/1951,3225
01/09/1951,3056
01/08/1951,3266
01/07/1951,3237
01/06/1951,3205
01/05/1951,3227
01/04/1951,2913
01/03/1951,2799
01/02/1951,2597
01/01/1951,2597
01/12/1950,2467
01/11/1950,2638
01/10/1950,2741
01/09/1950,2747
01/08/1950,2905
01/07/1950,2855
01/06/1950,2889
01/05/1950,2784
01/04/1950,2588
01/03/1950,2449
01/02/1950,2196
01/01/1950,2102
01/12/1949,2351
01/11/1949,2457
01/10/1949,2471
01/09/1949,2599
01/08/1949,2623
01/07/1949,2555
01/06/1949,2680
01/05/1949,2530
01/04/1949,2413
01/03/1949,2264
01/02/1949,1992
01/01/1949,1965
01/12/1948,2186
01/11/1948,2311
01/10/1948,2326
01/09/1948,2449
01/08/1948,2475
01/07/1948,2533
01/06/1948,2488
01/05/1948,2373
01/04/1948,2316
01/03/1948,2110
01/02/1948,1881
01/01/1948,1904
01/12/1947,2097
01/11/1947,2061
01/10/1947,2280
01/09/1947,2294
01/08/1947,2262
01/07/1947,2300
01/06/1947,2317
01/05/1947,2233
01/04/1947,2077
01/03/1947,1900
01/02/1947,1773
01/01/1947,1808
01/12/1946,1931
01/11/1946,2013
01/10/1946,2108
01/09/1946,2042
01/08/1946,2112
01/07/1946,2187
01/06/1946,2076
01/05/1946,2122
01/04/1946,2043
01/03/1946,1800
01/02/1946,1675
01/01/1946,1623
01/12/1945,1577
01/11/1945,1745
01/10/1945,1720
01/09/1945,1831
01/08/1945,1838
01/07/1945,1658
01/06/1945,1570
01/05/1945,1533
01/04/1945,1512
01/03/1945,1372
01/02/1945,1382
01/01/1945,1300
